iter	Passed	Remaining
713	13114	5253
714	13141	5238
715	13164	5221
716	13187	5205
717	13211	5189
718	13245	5176
719	13266	5159
720	13286	5141
721	13311	5125
722	13343	5112
723	13371	5097
724	13398	5082
725	13416	5063
726	13430	5043
727	13446	5023
728	13463	5004
729	13477	4984
730	13490	4964
731	13504	4944
732	13519	4924
733	13533	4904
734	13548	4884
735	13562	4864
736	13576	4844
737	13590	4824
738	13604	4805
739	13618	4784
740	13632	4765
741	13646	4745
742	13661	4725
743	13675	4705
744	13689	4685
745	13703	4665
746	13719	4646
747	13731	4626
748	13743	4605
749	13757	4585
750	13770	4565
751	13785	4546
752	13799	4526
753	13813	4506
754	13827	4487
755	13842	4467
756	13859	4448
757	13877	4430
758	13892	4411
759	13906	4391
760	13920	4371
761	13933	4352
762	13948	4332
763	13962	4312
764	13976	4293
765	13990	4273
766	14004	4254
767	14018	4234
768	14032	4215
769	14046	4195
770	14061	4176
771	14075	4157
772	14094	4139
773	14111	4120
774	14133	4103
775	14148	4084
776	14162	4064
777	14177	4045
778	14191	4025
779	14204	4006
780	14218	3986
781	14232	3967
782	14246	3948
783	14260	3929
784	14275	3909
785	14290	3890
786	14306	3871
787	14324	3853
788	14339	3834
789	14353	3815
790	14367	3796
791	14381	3776
792	14394	3757
793	14409	3738
794	14422	3719
795	14437	3699
796	14450	3680
797	14464	3661
798	14477	3642
799	14492	3623
800	14508	3604
801	14531	3587
802	14549	3569
803	14570	3551
804	14591	3534
805	14610	3516
806	14626	3497
807	14646	3480
808	14668	3463
809	14689	3445
810	14705	3427
811	14722	3408
812	14740	3390
813	14755	3371
814	14775	3353
815	14794	3335
816	14812	3317
817	14830	3299
818	14852	3282
819	14875	3265
820	14892	3246
821	14909	3228
822	14924	3209
823	14939	3190
824	14956	3172
825	14972	3154
826	14995	3136
827	15033	3122
828	15056	3105
829	15083	3089
830	15104	3071
831	15126	3054
832	15145	3036
833	15161	3017
834	15176	2998
835	15193	2980
836	15209	2962
837	15227	2943
838	15243	2925
839	15260	2906
840	15277	2888
841	15296	2870
842	15315	2852
843	15338	2835
844	15357	2817
845	15373	2798
846	15389	2779
847	15403	2761
848	15417	2742
849	15431	2723
850	15445	2704
851	15459	2685
852	15473	2666
853	15487	2647
854	15501	2628
855	15514	2609
856	15528	2591
857	15541	2572
858	15555	2553
859	15569	2534
860	15583	2515
861	15597	2497
862	15612	2478
863	15626	2459
864	15639	2440
865	15652	2422
866	15666	2403
867	15681	2384
868	15695	2365
869	15709	2347
870	15728	2329
871	15744	2311
872	15760	2292
873	15773	2273
874	15790	2255
875	15804	2237
876	15818	2218
877	15832	2200
878	15846	2181
879	15859	2162
880	15874	2144
881	15891	2126
882	15909	2108
883	15923	2089
884	15937	2070
885	15950	2052
886	15964	2033
887	15979	2015
888	15993	1996
889	16008	1978
890	16021	1960
891	16036	1941
892	16049	1923
893	16064	1904
894	16082	1886
895	16100	1868
896	16118	1850
897	16132	1832
898	16148	1814
899	16162	1795
900	16176	1777
901	16189	1758
902	16205	1740
903	16219	1722
904	16234	1704
905	16250	1685
906	16263	1667
907	16277	1649
908	16290	1630
909	16304	1612
910	16318	1594
911	16332	1575
912	16346	1557
913	16360	1539
914	16373	1521
915	16387	1502
916	16401	1484
917	16415	1466
918	16429	1448
919	16443	1429
920	16458	1411
921	16471	1393
922	16485	1375
923	16500	1357
924	16513	1338
925	16527	1320
926	16542	1302
927	16556	1284
928	16571	1266
929	16592	1248
930	16605	1230
931	16620	1212
932	16634	1194
933	16648	1176
934	16662	1158
935	16676	1140
936	16689	1122
937	16703	1104
938	16718	1086
939	16732	1068
940	16747	1050
941	16761	1032
942	16776	1014
943	16795	996
944	16812	978
945	16829	960
946	16850	943
947	16872	925
948	16894	907
949	16912	890
950	16929	872
951	16947	854
952	16968	836
953	16984	818
954	17004	801
955	17022	783
956	17043	765
957	17066	748
958	17085	730
959	17104	712
960	17131	695
961	17153	677
962	17172	659
963	17197	642
964	17217	624
965	17232	606
966	17247	588
967	17261	570
968	17275	552
969	17290	534
970	17304	516
971	17318	498
972	17335	481
973	17350	463
974	17363	445
975	17375	427
976	17389	409
977	17404	391
978	17417	373
979	17431	355
980	17445	337
981	17458	320
982	17473	302
983	17486	284
984	17501	266
985	17515	248
986	17529	230
987	17543	213
988	17557	195
989	17571	177
990	17585	159
991	17599	141
992	17614	124
993	17629	106
994	17643	88
995	17657	70
996	17672	53
997	17686	35
998	17699	17
999	17713	0
